category	answer	question	air_date
19th CENTURY PRESIDENTS	He was the first U.S. president who never had a vice president	John Tyler	2002-07-05
AMERICAN HISTORY	When Washington took office on April 30, 1789, it was the largest state in area, covering what is now 3 states	Virginia	2002-07-08
AWARDS	Nominees in 2002 for these awards included Dr. Ruth Westheimer, Ann-Margret, George Carlin & Jimmy Carter	the Grammys	2002-07-09
HISTORIC PEOPLE	"He once said, ""If I can make a deaf-mute talk, I can make metal talk\"""	Alexander Graham Bell	2002-07-10
THE OSCARS	1 of only 3 movies to be nominated for both Best Picture & Best Foreign Language Film in the same year	(1 of) Life is Beautiful, Z, or Crouching Tiger, Hidden Dragon	2002-07-11
ENGLISH LITERATURE	Literary history was shaped in 1905 when this female author moved from 22 Hyde Park to 46 Gordon Square	Virginia Woolf	2002-07-12
U.S. STATES	It's the only state whose state bird has a major city in its name	Maryland	2002-07-15
CLASSIC MOVIES	"A short feature called ""Salzburg Sight & Sound"" is included with the DVD 35th Anniversary Edition of this film"	The Sound of Music	2002-07-16
CANADIAN SPORTS	Valued at $60,000, the Brier Tankard is the ultimate prize in this professional sport	curling	2002-07-17
AFRICAN COUNTRIES	This country of more than 100 million people is home to the Kanuri, Edo & Igbo ethnic groups	Nigeria	2002-07-18
FAMOUS AMERICANS	"\""May none but honest and wise men ever rule under this roof"" is from this man's 1800 prayer"	John Adams	2002-07-19
STATUES	On May 8, 2002 the city of Minneapolis placed a statue of this fictional character at the corner of 7th St. & Nicollet Mall	Mary Richards	2002-09-02
SEPTEMBER 1984	History-making woman whose Sept. 1984 itinerary included speeches in Dallas, Spokane, Syracuse & Youngstown	Geraldine Ferraro	2002-09-03
NEW YORK CITY LANDMARKS	Moving several times, the first was originally P.T. Barnum's Monster Classical and Geological Hippodrome	Madison Square Garden	2002-09-04
TECHNOLOGY	"After a demonstration of this, the April 8, 1927 New York Times said, ""Commercial use in doubt\"""	television	2002-09-05
SPORTS STARS	He's the only athlete in history to play in both the Super Bowl & the World Series	Deion Sanders	2002-09-06
POETS	She has over 30 honorary degrees, wrote a poem for Clinton's first inauguration & now has a line of Hallmark Cards	Maya Angelou	2002-09-09
BY THE NUMBERS	In the 1800s Carl Wunderlich got this number by averaging over a million readings from armpits of 25,000 patients	98.6 degrees	2002-09-10
BASEBALL	It's the only team to win World Series titles in 3 different cities for which it played	the Braves (Boston, Milwaukee & Atlanta)	2002-09-11
U.S. HISTORY	Dating back to the revolution, it's the oldest continuously occupied military post in the United States	West Point	2002-09-12
PRESIDENTIAL ELECTIONS	The first winning presidential ticket of 2 sitting U.S. senators was the ticket of these 2 men	John F. Kennedy & Lyndon B. Johnson	2002-09-13
ON THE CALENDAR	In 1974, to save energy, it began in January instead of April & ended on October 27	daylight saving time	2002-09-16
STATE FACTS	In August 1959 a coin toss helped Hiram L. Fong become this state's senior senator	Hawaii	2002-09-17
THE 7 ANCIENT WONDERS	The oldest of the 7 Wonders of the Ancient World, they're also the only ones still standing today	the Pyramids	2002-09-18
EXPLORERS	Sailing on behalf of Spain in 1519, this Portuguese explorer's trip proved the Americas were a new world	Ferdinand Magellan	2002-09-19
INAUGURAL ADDRESSES	"A New Deal Democrat in his youth, this president stated, ""Government is not the solution to our problem\"""	Ronald Reagan	2002-09-23
WORLD NATIONS	"Of the world nations whose English names contain ""land"", this nation has the most people, 60 million"	Thailand	2002-09-24
MOVIE MOUNTAINS	"This peak is featured in the 1959 Disney film ""Third Man on the Mountain"", where it's called ""The Citadel\"""	the Matterhorn	2002-09-25
WORLD LEADERS	"In April 1952 he wrote in a poem, ""Cherry blossoms are blooming full today, now is the nation's springtime\"""	Emperor Hirohito	2002-09-26
THE EAST COAST	It's the only U.S. island allowed to use a possessive apostrophe by the U.S. Board on Geographic Names	Martha's Vineyard	2002-09-27
WORLD FLAGS	This Mediterranean country is the world's only nation whose flag bears a geographic outline of itself	Cyprus	2002-09-30
COMIC STRIPS	He's Willi Wakker in Germany, Angelo Capello in Italy & Andre Chapeau in France	Andy Capp	2002-10-01
BROADWAY STARS	"This Tony-winning actor with the real name Joseph took part of his stage name from a role in ""Guys and Dolls\"""	Nathan Lane	2002-10-02
CATCHPHRASES	Maiden name of author Edith Wharton, whose social-climbing family may have inspired a catchphrase	Jones	2002-10-03
U.S. PRESIDENTS	A Civil War general, he was the last man to go directly from the House of Representatives to the presidency	James A. Garfield	2002-10-04
MOVIE MUSIC	"The end credits for this 1998 film with Woody Allen feature the song ""High Hopes\"""	Antz	2002-10-07
1896	This venture was financed by the sale of souvenir stamps & medals & a large donation from businessman Georgios Averoff	the Olympic Games (first of the modern era)	2002-10-08
THE CENSUS	The 1930 U.S. Census was the first to ask if residents owned one of these & 12 million were counted	a radio	2002-10-09
ADVERTISING	In 2002 H&R Block used a version of this 1966 song in its TV commercials	"\""Taxman\"""	2002-10-10
FAMOUS AMERICANS	"In 1785 he wrote that ""After fifty years' service in public affairs"", he wanted to ""make plenty of experiments\"""	Benjamin Franklin	2002-10-11
COMPOSERS	"His Rococo-style summer house in Prague is nicknamed ""America\"""	Antonin Dvorak	2002-10-14
FIELDS OF SCIENCE	"Ludwig Prandtl, an expert in wind tunnel & wing design, is called ""The Father of"" this aviation-related field"	aerodynamics	2002-10-15
FAMOUS AMERICANS	In 1920 this man, great-grandson of Sauk leader Black Hawk, became the first president of what is now the NFL	Jim Thorpe	2002-10-16
MODERN-DAY KNIGHTS	At the Knights of the Garter's Chapel, the heraldic crest representing this man depicts a kiwi with an axe	Sir Edmund Hillary	2002-10-17
U.S. GEOGRAPHY	It's the westernmost state to border any of the Great Lakes	Minnesota	2002-10-18
PEOPLE	"A British airport recently named for him features a logo with the words ""Above Us Only Sky\"""	John Lennon	2002-10-21
WOMEN AUTHORS	"A line in her first novel reads, ""I am to replace my mother, whose seat at the mah jong table has been empty\"""	Amy Tan (The Joy Luck Club)	2002-10-22
AMERICANA	It's made yearly by Tiffany out of 7 pounds of silver; since 2001 one in Baltimore has been touched by some 250,000 fans	The Vince Lombardi Trophy (emblematic of winning the Super Bowl)	2002-10-23
HISTORIC PHRASES	Sidney Sherman, who died in Texas in 1873, is credited with coining this 3-word phrase	"\""Remember the Alamo\"""	2002-10-24
NATURAL WONDERS	"Given its current name by John Wesley Powell, it was called Kaibab, or ""mountain lying down"" by the Paiutes"	the Grand Canyon	2002-10-25
DOUBLE MEANINGS	Used one way, this word is one of the official titles of the Pope; used another, it's an order of mammals	primate	2002-10-28
NOTABLE NAMES	His last direct descendant was a granddaughter, Elizabeth Hall, born to John & Susanna Hall in 1608	William Shakespeare	2002-10-29
CABLE TELEVISION	"2002's ""A Season on the Brink"" was this cable network's first original movie"	ESPN/ESPN2	2002-10-30
HISTORIC CONGRESSMEN	Armed Services Committee head Carl Vinson was the first living American for whom the government named 1 of these	ship/aircraft carrier	2002-10-31
BUSINESS GEOGRAPHY	The U.S. company that now has the greatest revenues is headquartered in this state that's near the bottom in household income	Arkansas (Wal-Mart)	2002-11-01
OFFICIAL LANGUAGES	It is an official language of about 30 countries, second only to English	French	2002-11-04
FAMOUS PHRASES	Phrase associated with very dissimilar events of April 19, 1775 & October 3, 1951	"the ""Shot Heard 'Round the World\"""	2002-11-05
AUTHORS	"In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A\"""	Margaret Mitchell	2002-11-06
HISTORIC BOOKS	Published in 1611, the Pilgrims in 1620 refused to bring it to America; they brought the Geneva version	King James Bible	2002-11-07
STATE CAPITALS	In the continental United States, this city is the southernmost state capital	Austin, Texas (Tallahassee is a very close second, Baton Rouge, third)	2002-11-08
THEORIES OF SCIENCE	Physicist John Wheeler compared possible passages through space & time to the work of this creature	a worm	2002-11-11
AMERICAN LEGAL HISTORY	5 of the women condemned in Salem in 1692 were finally exonerated by a bill signed on this day in 2001	Halloween (October 31)	2002-11-12
COMPUTER HISTORY	IBM engineer Dave Bradley is called the father of this multi-key combination	Control-Alt-Delete	2002-11-13
LITERARY INSPIRATIONS	In 2002, at age 104, Gregorio Fuentes, an inspiration for this tale, died in the Cuban fishing village of Cojimar	"\""The Old Man and the Sea\"""	2002-11-14
BIOGRAPHIES	"A 2001 biography of this man is subtitled ""Pioneer of the Mind\"""	Sigmund Freud	2002-11-15
THE PRESIDENCY	He was the first man to become U.S. president as a result of the 25th Amendment	Gerald Ford	2002-11-18
IN THE NEWS	So far some of its major components are Zarya, Unity, Zvezda & Canadarm2	International Space Station (ISS)	2002-11-19
AMERICANA	Baptist minister Francis Bellamy penned this oath in 1892 to reflect his Christian Socialist beliefs	the Pledge of Allegiance	2002-11-20
AMERICAN LITERATURE	"One of the original titles of this 1925 novel was ""Among Ash Heaps and Millionaires\"""	The Great Gatsby	2002-11-21
CLASSICAL MUSIC	"1 of the 2 planets of the solar system not represented in Gustav Holst's 1916 work ""The Planets\"""	Earth or Pluto	2002-11-22
POTENT POTABLES	This brand won a top prize at the 1893 Chicago Expo & has carried the award in its name ever since	Pabst Blue Ribbon beer	2002-11-25
POLITICIANS	Name of the man who would serve as chief executive if President Bush & Vice President Cheney were incapacitated	Dennis Hastert (Speaker of the House)	2002-11-26
U.S. PRESIDENTS	1 of the 3 U.S. Presidents to run on a third-party ticket after having already served as president	(1 of) Teddy Roosevelt, Martin Van Buren & Millard Fillmore	2002-11-27
THE CALENDAR	Rendered numerically, it was the last complete date where every digit was an odd number	11-19-1999	2002-11-28
AFRICA	1 of the 2 current African nations that were independent at the start of the 20th century	Liberia or Ethiopia	2002-11-29
2002 NEWS	These 2 men, both christened Paul, made news when they visited Africa together in May 2002	Bono & Paul O'Neill	2002-12-02
WASHINGTON, D.C.	The National Mall is bounded by these 2 avenues whose names recall historic documents	Constitution & Independence Avenues	2002-12-03
THE WHITE HOUSE	In February 2000 the White House Press Briefing Room was named in this man's honor	James Brady	2002-12-04
PSYCHOLOGICAL TERMS	"From the Greek for ""womb"", this disorder was once thought to be peculiar to women"	hysteria	2002-12-05
20th CENTURY CLASSICAL MUSIC	"This work written in 1931 consists of 5 movements including ""On the Trail"" & ""Painted Desert\"""	"\""Grand Canyon Suite"" (by Ferde Grofe)"	2002-12-06
WORDS	"This common expression of distress comes from an English representation of the French for ""help me\"""	Mayday	2002-12-09
THE SPACE PROGRAM	In 1979 NASA officials received a fine for littering from a small town in this country	Australia	2002-12-10
NATIONAL FLAGS	Over its 200-plus years, this country has had 28 different flags, a record for any country	United States of America	2002-12-11
OSCAR-WINNING DIRECTORS	He's the last person to win the Best Director Oscar for a film in which he also starred	Mel Gibson (for Braveheart)	2002-12-12
U.S. HISTORY	In 1992 Nathan E. Cook, the last veteran of this war, died	the Spanish-American War	2002-12-13
FORTUNE 500 COMPANIES	As its packaging reflects, this company began marketing its products from an Iowa cattle farm in 1985	Gateway	2002-12-16
SCIENCE	It takes approximately 24,840 mph to achieve this	escaping the Earth's gravity (& go off into outer space, on your way to the Moon, for instance)	2002-12-17
20th CENTURY U.S. PRESIDENTS	This president shares his middle name with the name of a 1st c. Jewish theologian mentioned in the New Testament	Warren Gamaliel Harding	2002-12-18
TV & MUSIC	Scooby-Doo's name was inspired by a line in this 1966 song standard	"\""Strangers in the Night\"""	2002-12-19
GREEK GODS	Isthmia in Corinth was the site of the sanctuary of this Greek god	Poseidon	2002-12-20
OSCAR WINNERS	She's the first woman to win 2 Best Actress Oscars before the age of 30	Luise Rainer	2002-12-23
U.S. STATES	This state is 2nd in blueberry production, 3rd in cranberries, 4th in peaches but 1st in chemical production	New Jersey	2002-12-24
ISLAND COUNTRIES	"In 2002 State Dept. spokesman Richard Boucher called it ""The first new nation of the new millennium\"""	East Timor	2002-12-25
TOYS & GAMES	It was inspired by support for economist Henry George's idea that only land should be taxed	Monopoly	2002-12-26
IN THE DICTIONARY	This 5-letter word can refer to one type of work by a composer, or to several works of different types	opera	2002-12-27
